image_name,prompt
2217ccbd-a1c6-47ac-9a2d-79649727c834.png,"a portrait of a female robot made from code, very intricate details, octane render, 8 k, trending on artstation "
ff64af63-9505-4df6-8ccf-1ade01b80a72.png,"render of dreamy beautiful landscape, dreamy, artger, large scale, details vintage photo hyper realistic ultra realistic photo realistic photography, unreal engine, high detailed, 8 k "
f6df7614-0748-46b4-8663-84323aeb16b5.png,"robots creating new robots in a factory line, oil painting by justin gerard, deviantart, blizzard, bright colors, intricate "
ec720fdf-5339-444f-a6e7-34300e065952.png,a beautiful painting of chornobyl by nekro and pascal blanche and syd mead and greg rutkowski and sin jong hun and victo ngai and simon stalenhag and chris voy and ansel adams. in style of cg art. ray tracing. cel shading. hyper detailed. realistic. ue 5. maya. octane render. 
d4066671-27d6-4251-afb1-719e7f25c48f.png,the drowned and the saved 
e01ce206-044e-4ccf-b6d0-8903751976e8.png,"harrison ford by kehinde wiley and rembrandt : 5. photorealistic facial features, portrait, detailed face, ultra high details, large, close - up : 1 0 0. "
ae1c7f05-7f66-4d32-977d-eb07e184e34b.png,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, 8 k "
9c076ab3-3514-481b-ac37-87e2a37e683e.png,"highly detailed chinese demon god character design, chinese mythological style, cyberpunk, steampunk, in an elevator with art nouveau neon panelling, ultrawide angle, low camera angle, billowing smoke wisps, art by fenghua zhong, peter mohrbacher, ruan jia, liuyuan lange, akiya kageichi, ayami kojima, joseph leyendecker, vic"
f2d0ab0c-1298-4401-8cfe-27003c51de93.png,"spaceport on a vast desert planet with ships taking off, by ralph mcquarrie, digital painting, highly detailed "
370e079d-a29b-412d-ac3f-8536f6739c42.png,"a beautiful very detailed rendering of palace city unfinished building nature urbex industrial architecture by renzo piano, at night futuristic extraterrestial junglepunk, archdaily, wallpaper, highly detailed, trending on artstation. "
62752b86-3154-4689-a40d-1aa925e84197.png,"woman with curly black hair tied in a bun wearing sunglasses and black t - shirt, looking down, close - up, digital draw, trending on artstation "
a11b2588-d896-471e-9bc6-760829b84edd.png,illusion. oil on canvas 
c538ec89-5d3e-4410-b64e-d32eae694834.png,"artistic portrait of a confident and severe looking northern queen warrior, extremely long blond hair beautiful blue eyes and red lips, perfect fit body, art by artgerm and greg rutkowski and magali villeneuve, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, masterpiece "
583d4b2d-6947-4b6e-a2c7-68e3c5bd9f60.png,"white humanoid made of cosmic lights and shiny objects in the edge of the universe, in space cosmic starts godly holy. immaculate matte painting. fantastic. velvet and retro. high key studio lighting. fractal dreams. ancient greece, trending on artstation, cgsociety, ps 5, uhd 8 k cryengine "
73090294-dc0a-4431-8991-373e76b6f2cb.png,"overwatch small hut building, stylized, exterior, architecture, in watercolor gouache detailed paintings, arcane, insanely detail, artstation, 8 k, futuristic, big medium small, props, furniture and decor, empty, no character "
3e251685-0b4d-4071-af08-13f9a1b6639a.png,"proud cthulhu portrait in rms lusitania, greg rutkowski, rhads, ferdinand knab, makoto shinkai lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, intricate, detailed, atmospheric lighting, golden hour "
2c97c1d9-53a1-44c6-9529-372fe8b100d3.png,"poster artwork, girl bard in blood dress, medium shot, details, sharp focus, illustration, by jordan grimmer and alphonse mucha and greg rutkowski and pine ( ハイネ ) and 薯 子 imoko and 香 "
4fb64ecd-0ceb-449a-94bc-3b5781ddeb2e.png,"a beautiful matte painting of a cyberpunk environment with an intercontinental spacex falcon 9 heavy launch, trending on artstation, unreal engine, high quality, highly detailed "
cdcd72e1-6b9c-4348-9d06-c90ed67ccd27.png,"an industrial sci fi geometric temple lab room, a sculpture of a icosahedron holographic iridescent luminescent mandelbulb floating, marble sculptures of people surrounding, by moebius, by simon stalenhag, by andrew jones, by julius horsthuis, epic composition, sci - fi, ethereal, surreal, cinematic, 8 k, unreal engine, volumetric lighting "
666182dd-899e-4b17-939d-abb38998dc5d.png,"a renaissance portrait of dave chappelle, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
2c2cf834-bd8d-497d-a0cc-1004596d8c61.png,a drunk girl in mikonos giving a motivational speech to the carthage army 
a4aaec23-8fe6-428b-a26e-278a91f0f897.png,liminal space 
149855ba-14b2-45c4-969b-d32184fa49b1.png,"isometric glowing infinity diamond logo, vector art, artstation, neon, digital illustration, 8 k trending on artstation, colorful "
a6a02b39-e75f-496d-a5d1-e8e4205392d6.png,"black mickey mouse skull, d & d, beautiful lighting, lasers, synthesizers, intricate detail, highly realistic, "
d57f1e5c-9507-4a6e-8a9e-5507b5ca066c.png,"woman on moon, stars, watercolor, face, funny, laughter, vector! pop art, soft line, bright, colorful, clean, cutout, gauche "
cd7f7d3f-535c-44bd-a8dd-ae0dd2d49165.png,"mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. photograph, postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat. motocross helmet with cybernetic bunny ears. gentleman elegant "
52bac89a-a48d-4194-82aa-d4a09cccecc6.png,"photo cartoon illustration comic manga painting of sci - fi : 6 machine shop in a shipping container, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch "
e7892abf-9ad6-42be-a4f9-0595539f0dad.png,"concept art of octopus attack, lovecraftian, lots of teeth, melting horror, fighting the horrors of the unknown with laser guns "
1f1edeb6-e036-44f2-ad4a-9a86890c4a8a.png,"sandwalwood emperor, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve "
9c655ed8-9e46-4ec7-9e22-a98751826d9d.png,"photo cartoon illustration comics manga painting of small sci - fi junkshop in a shipping container, sci - fi, fantasy, digital painting, unreal engine, 8 k, volumetric lighting, contrast "
aa2e2878-0651-48f3-bccd-0f5d8dcdf092.png,"a frog wearing police cap, photorealistic, highly detailed, unreal engine "
11c92b67-badb-4625-95cb-4ce11c0b96e9.png,"wide - angle close - up portrait of a beautiful woman, lens distortion, simon stalenhag, tim walker, harpers bazaar art, id magazine, vogue, cinematic lighting, rendered in octane, ektachrome "
1690adee-4f05-4cbd-b585-39ca1c40ee29.png,"portrait of beautiful long haired fluffy white tabby striped wolf cat hybrid animal with flowing fur wearing renaissance robes with lace collar and headdress with tribal peacock feathers and flowers, detailed painting 4 k "
fb66392f-57a8-42aa-b6ea-06d613c562bb.png,"portrait photo still of a spooky scarecrow holding a gift, wearing a straw hat, in front of an old cemetery on fire at night, 8 k, 8 5 mm f 1. 8 "
cc722150-e7a2-4fd7-bd50-ce86d958b181.png,"silk velvet ribbon floral embroidery, macro shot. "
f650c722-3e60-469f-88e0-e93dbe121c83.png,"a pig sitting in a chair smoking a pipe, and another wearing glasses answers the telephone "
5b9236b9-8406-46ff-852d-7e10bc666de5.png,"a female warrior in charming phenix armor, light effect, unreal engine, feminine, powerful! intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by gaston bussiere and alphonse mucha, "
db2dc057-4eed-4e95-bee1-26d1e88c7315.png,"dramatic oil painting full body portrait of mean machine angel from 2 0 0 0 ad, norman rockwell, jeremy mann, glenn fabry, greg staples, "
c5639712-e93f-4e36-bed6-b67f695cf19e.png,"portrait of butterflies swarming flowers. shadow and light. rays of light. energetic, dynamic, lively, detailed, intricate, complex. fine art by hayao miyazaki, akira toriyama, makoto shinkai, and ohara koson. studio lighting. tilt and shift lens. "
74844538-547f-4f0d-830a-4fcba607ef3c.png,"weta movie still full body portrait photo, mesh render, of classy elegant sophisticated 小 柔 seeu as a translucent plastic cyborg girl ， big eye ， glittering light leaks, electromagnetic waves, by nixeu and guweiz weta, wlop, ilya kuvshinov, rossdraws, artgerm, anime, liosh, mucha "
8d3dfd5a-e3ac-4035-9f4f-48a13b71c1f6.png,"photorealistic rendering of eldritch demon stained glass window in the style of michael whelan, gustave dore, and stefan koidl. hyperdetailed photorealism, 1 0 8 megapixels, cinematic lighting. "
af75dd06-5f3c-44da-97ba-0ce41d372653.png,"a low - fi analog photograph. liminal space, monterey bay aquarium interior. strange, nonsensical, unsettling. "
80740e67-1d1f-4cbc-827d-c9492bcb5618.png,"pink flamingos, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, trending on artstation, hd, 8 k, clear, sharp "
acf39b58-ccf7-4bb4-99eb-e5d77343af43.png,"kate winslet, league of legends hero, hearthstone character, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8 k "
9224039c-6f52-4a40-8c57-2a468f995b41.png,"the best abstract art, weird eyes, artstation hq, in style of simon c page "
799fe68e-5181-4eba-b8eb-4a67bdfdb42b.png,"hyperdetailed anubis wearing a pale gray flight jacket armor, steampunk, highly detailed portrait, polygon style, digital painting, artstation hq, ray tracing, unreal engine 5, intricate, elegant, medium shot "
0245310c-6062-4e45-9d43-d7c916086ec3.png,"photoreal cyberpunk!!! portrait by nicola samori and russ mills, very intricate! hunter wearing a black hoody, glittering light leaks, electromagnetic waves!, blue glowing aggressive led eyes, zbrush, greeble skin, octane render, cyberpunk, dystopia tokyo "
a232c8a3-4038-47fd-8f76-043ffab6bf4b.png,donald trump as a pixar character 
13e3f577-e44f-4d4e-a2af-89c7106dc81c.png,"byzantine gothic ashura, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve "
46551bc8-a7c5-4a2d-bc4b-6bb34fdee1f5.png,"brain floating out of a portrait, on a wooden table, inside a laboratory, green ink on the book, rim light, extremely detailed, masterpiece, artstation, cinematic lighting, photographic, by greg rutkowski and alphonse mucha, wolp "
b9b9f474-6fb1-4656-a9ea-8445c2b36cbf.png,"demonic woman in the style of michael whelan and stefan koidl. hyperdetailed photorealism by greg rutkowski, 1 0 8 megapixels, cinematic lighting "
72db7656-8fa3-4380-a88d-3bedea34061d.png,oil painting by martin johnson heade of a small group of guinea pigs in a meadow in the spring at dawn. 
8991098f-5c94-4ba2-b977-61a56f5450d8.png,"hanging gardens of babylon, egypt, by lliam brazier, petros afshar, peter mohrbacher and victo ngai "
698bf32b-20da-4e3b-bc4a-d612114a0f93.png,"artistic digital artwork. where am i? epic beautiful colourful scene by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. detailed oil and water colour based on high quality render. "
81e46726-d1e4-463b-a685-d018d228b0d0.png,salvador dali's the persistence of memory drawn by m. c. escher 
3c179862-3c86-46d2-8be5-5810308d8b46.png,a man catching an angry whale on the end of his fishing rod cinematic 3 5 mm hyperrealistic 
9d8c4acb-2b20-4363-bf34-fba9f6d01e8a.png,"the sun rose, and then soon after fell, on the cinema industry, without anyone even noticing at all "
9f7cb59d-a69e-4011-a307-e5e63217f925.png,"symmetric ！ a steampunk manufactured mystical canal blue egg by precision machinery covered with huge electroplated squama ， in the magic nest, magic surge, intricate, unreal engine 5, concept art ， by greg rutkowski, loish, highly rendered, digital painting, artstation hq "
382370f9-0960-4a6d-a397-76837179e0d3.png,"cute fox in suit dancing in club, photorealistic rendering, digital art, highly detailed "
294e8f73-f8c4-4a19-8f85-99a00c29c8c3.png,a man jumping off a cliff. daylight. sunlight. light fixtures. 8 k. detailed. photorealism. artstation. 2 5 mm f / 1. 7 asph lens. ultra realistic 
c67dcbab-5be4-4600-9249-df652af8688a.png,"a dark cosmic universe, gloomy, dark, stars, galaxies, planets, nebulas, epic cosmic atmosphere, cosmos, epic art, digital art, trending on artstation, deviantart, ultra realistic, high detail, high definiton, high quality, hyper realistic, 4 k uhd "
8259482c-3b2c-4ef7-be86-8b5fb4946399.png,"a cute 2 d hair barrette character, afro, design, detailed "
5041de6a-f1d3-47d5-9ae9-6ed85a773689.png,"sky docks, sci fi environment, colors, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, thomas kinkade, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp "
27932cd3-4903-413d-88c1-88cbd2396880.png,"epic face portrait of muscled warrior barbarian riding a large rhinoceros, golden hour, lilia alvarado, sophie anderson, mark arian, bob byerley, charlie bowater, mark brooks, justin gerard, ross tran, wlop, william adolphe bouguereau "
7906212a-17a1-4ac2-89b5-1937e80fbc23.png,"an epic artistic colourful natural scene on an alien planet. organic weird landscape. beautiful very detailed digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and water colour based on high quality render. eerie beauty. "
b381382b-6828-4472-a42b-24608973992b.png,multiple dark gross mushrooms growing through a human skull in the woods 
d135394b-4b58-4907-9390-62eba0208508.png,"a hyper intricate oil portrait red cathedral interior, excellent composition, wide shot, by zdzislaw beksinski, intricate, horror atmosphere, unreal engine 5 highly rendered, global illumination "
4ac31c63-7904-46b7-a82c-fe64cf7302f7.png,"smart sri lanka buddhist monk, closeup portrait, earl sweatshirt!, historical hero, ethnic group, tai costume, background is sukhothai temple, intricate, elegant, loin cloth, highly detailed, oil painting, artstation, concept art, matte, sharp focus, illustration, hearthstone, art by earl norem "
3666a831-8b00-4a9e-a535-13fe826b6578.png,"watercolor painting of a male japanese bjd samurai warrior magus by yoshitaka amano, yoji shinkawa, in the style of dark - fantasy, symmetrical face portrait, red, bronze, artgerm "
59299451-c6fd-4b91-86c3-a894a97d98fa.png,"depressed santa claus kissing a white fluffy cat in his workshop crying. dimly lit. dark. 4 k rtx hdr volume light concept studio matte painting environement digital illustration style artstation artur tarnowski, mihai muscan, marcin tomalak, marta leydy, "
c106ef97-1f1f-4517-b849-9498447369c8.png,"a tray of sushi, a beer can, and a laptop on a big round garden table on a grassy terrace, on a sunny day. a black cat under the table. trending on artstation "
e50da3b5-756f-40e7-ba48-8931e9583fa5.png,"art nouveau style handdrawn of medieval black mirror by pixar, by weta, wlop, ilya kuvshinov, rossdraws, artgerm, latex, iridescent, bright morning, anime, liosh, donato giancola, mucha "
af090809-77c3-4f1a-86b4-346c5a710f70.png,oil painting by edward hicks of the peaceable kingdom with corgis. 
43f75b11-3b16-4b0a-aefc-2e87231a8214.png,"shoulder portrait of a cute mila kunis as a cyberpunk assassin posing in front of her spaceship, ar sunglasses, golden hour dramatic light, high contrast, sharp, stanley lau, stanley artgerm, wlop, beeple "
b4b8250c-90d9-4fcd-a2ec-dfd928df3bd4.png,cyber bull enemy wearing power armor walks through a portal to the digital world. megalomaniacal expression. cyberpunk scene by ralph mcquarrie and beksinski r / characterart 
eb9ac6a0-f325-4a1e-9a40-0bba9f94e7aa.png,"portrait of kakegurui, shinsekai yori, anime girl jabami yumeko au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart "
df48175c-7de3-4284-8df1-8c76c286a033.png,"photo environement cyberpunk road : 4, 4 k rtx hdr volume light concept studio matte painting environement digital illustration style cyberpunk 2 0 7 7 artstation artur tarnowski, mihai muscan, marcin tomalak, marta leydy, marcin stepien, charlotte hughes, zuzanna dabrowa neon bioluminiscence "
85ef9f77-4138-4098-bc10-6769ac3061fa.png,"muslim magomayev photo, 5 0 mm, bokeh "
498d4232-7b23-4da3-b264-22f3f1bba874.png,"clear crystal gemstone rendering, photorealistic, bright backround, photography, artstation "
4a21d4bb-0f9a-483e-8e65-4ee80e824829.png,"idealistic portrait of a lovely young girl working in a blacksmith's forge, clear eyes, fair skin, beautiful hair, gloves, sweating, fantasy art, fire, 8 k digital art, unreal engine, far away, in the style of greg simkins and h. r. giger, "
686a913d-edbe-47b2-9f33-c4d39fa21f57.png,"eldritch anime demon in the style of michael whelan and h. p. lovecraft. hyperdetailed photorealism by greg rutkowski. 1 0 8 megapixels, 3 d finalrender, cinematic lighting. "
75205af4-d71c-464d-90f1-9569986ecebc.png,"close up of a terrified beautiful young woman with red blood splashes on her face, wearing a magnificent emerald necklace, curled in a corner, panicked, in a castle corridor. wearing a green medieval ball gown. long chestnut hair. 4 k, low angle photograph, lens focused on face, clear image "
48e60551-9cd7-44a5-8e0a-ef3a0358c721.png,trump sycophants hypnotized by their television sets. dreams of rusty rain fall outside and they draw his name in color all day. professional cinematography 
d3368708-c826-4df2-80dd-b7bfc696cdde.png,battletoads video game cover art in intricate detail 
beac9ed4-0a2a-4369-ac6e-066874eb73d0.png,"vfx color film closeup, huge behemoth monster creature beast by aaron sims, in residential street, low - key lighting award winning photography arri alexa cinematography, hyper real photorealistic cinematic beautiful, atmospheric "
02b352da-b622-4c94-ab7f-73d7e90d0c47.png,zeus the greek!! god of thunder!!! in flight wild rift hero champions arcane magic digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm style pascal blanche and magali villeneuve mage fighter assassin 
5d57f0b2-3314-4eb5-9206-1d0888398423.png,"grumpy minions sitting in a bar, fantasy, concept art, artstation, disney, pixar, dreamworks, anime, tyler edlin, anato finnstark, feng zhu, thomas karpi "
8ecefbd6-4b55-46c4-b306-e65729e5e6c4.png,"a living room with a black and white chevron!!! floor, with walls covered by red! curtains!, a couch, a chair, a lamp and a statue!!!, a 3 d render by enguerrand quarton, cg society contest winner, art deco, voxel art, isometric, anaglyph effect "
57a440a0-4142-44b4-9540-9b70bd7ae8c7.png,biohazard border collie wild rift hero champions arcane magic digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm style pascal blanche and magali villeneuve mage fighter assassin 
f0b7c5a2-1e3f-40f9-8246-f19f3601a024.png,"portrait of aztec sun goddess patchwork armor brandishing a celestial staff, extremely detailed, high quality, epic, futuristic, octane render, beautiful, shimmering, deity "
c543f392-7758-48a3-b953-39691c4cd077.png,"arachnid god of the netherworld in the style of michael whelan and h. p. lovecraft. hyperdetailed photorealism by greg rutkowski. 1 0 8 megapixels, 3 d finalrender, cinematic lighting. "
c0adb7b5-0725-4ff2-8d7b-bf936cd2d282.png,"large female human barbarian inside a dungeon, dungeons and dragons book illustration, mighty and robust, traditional art by jeff easley, high definition, 8 k "
66389141-265f-46cf-86a9-5c7f9430f044.png,"moon sea with stars and galaxies ， ornate detailed background, trending on artstation, by rossdraws, thomas kinkade "
d67ed123-11b1-4ccf-a42d-3be2958572ea.png,a painterly stylized crystal by james gilleard 
e3cb364a-3ebc-4cdb-9d24-e53f8acd7187.png,"vfx film, destiny 2 irl, low - key lighting award winning photography arri alexa cinematography, hyper real photorealistic cinematic beautiful, atmospheric "
e27c6636-20fb-4ef7-b627-ada8bc3fbbbd.png,a cybertronic anatomically correct human heart textured like a raspberry and made of metal 
